W1,L1,W3,L3,W5,L5,W6,L6,W7,L7,IB,CC,total_area,slew_rate,total_power
16.104u,352.295n,18.930u,187.153n,17.793u,208.824n,62.784u,257.507n,143.962u,404.029n,16.796u,1.169p,8.7263912788e-11,14367835.7571,0.000101810333745
17.836u,400.167n,19.356u,365.170n,14.664u,393.713n,219.334u,203.530n,14.279u,372.222n,18.621u,0.942p,6.9935023522e-11,19767515.9236,0.000128903647228
6.369u,228.236n,16.987u,290.500n,20.086u,512.121n,308.204u,200.738n,137.441u,495.181n,22.642u,2.210p,1.46601247363e-10,10245248.8688,0.000608920504338
14.502u,460.147n,20.400u,194.920n,6.506u,186.525n,69.183u,261.415n,119.229u,253.501n,14.198u,0.753p,6.0173096118e-11,18855245.6839,8.95968044299e-05
7.153u,260.007n,10.058u,304.949n,19.990u,329.225n,316.483u,200.802n,123.995u,312.287n,27.326u,1.820p,1.13780660794e-10,15014285.7143,0.000685658081914
20.011u,220.806n,5.310u,247.985n,8.455u,313.149n,94.775u,438.648n,14.191u,468.141n,20.363u,1.229p,5.6599277142e-11,16568755.0854,0.000148234904377
18.782u,199.608n,15.969u,311.037n,2.882u,245.031n,113.186u,471.076n,25.670u,302.570n,14.181u,1.516p,7.0508346687e-11,9354221.63588,0.000116518233015
5.057u,210.677n,23.604u,374.753n,7.028u,227.067n,226.587u,482.516n,74.356u,272.582n,12.463u,1.418p,1.41106850361e-10,8789139.63329,0.000148333903969
19.165u,415.254n,10.393u,321.849n,23.905u,303.191n,58.520u,298.027n,50.104u,427.712n,10.002u,1.146p,5.742172251e-11,8727748.6911,8.31669781619e-05
13.856u,486.387n,11.862u,362.156n,23.090u,356.843n,64.732u,410.853n,15.465u,479.374n,16.688u,1.219p,5.328363292e-11,13689909.7621,8.52070276952e-05
14.206u,353.216n,12.637u,216.474n,23.807u,401.677n,179.639u,409.967n,41.554u,495.189n,18.011u,1.888p,1.11539238392e-10,9539724.57627,0.000146728307388
15.929u,325.675n,23.739u,196.907n,19.822u,304.311n,113.918u,246.485n,18.457u,405.058n,12.357u,1.975p,5.1449338726e-11,6256708.86076,7.10061086176e-05
20.856u,204.334n,5.412u,244.377n,7.133u,401.708n,357.286u,193.642n,88.758u,470.517n,22.060u,1.530p,1.1939726489e-10,14418300.6536,0.000853948006181
15.040u,294.669n,21.813u,381.457n,16.981u,506.823n,170.137u,354.587n,17.840u,305.192n,17.576u,2.420p,8.7131898363e-11,7262809.91736,0.000163218918253
5.694u,466.280n,9.870u,180.577n,8.331u,481.248n,169.050u,307.251n,60.654u,193.825n,27.195u,1.196p,7.2143613498e-11,22738294.3144,0.000447865828979
15.219u,355.455n,27.747u,226.076n,21.390u,236.525n,96.626u,183.121n,60.346u,206.741n,16.535u,1.151p,4.6912112299e-11,14365768.8966,0.000134517999198
17.533u,285.286n,13.404u,245.085n,5.665u,247.134n,339.110u,250.984n,125.628u,441.006n,15.949u,1.284p,1.50200938896e-10,12421339.5639,0.00046921141516
18.100u,229.548n,15.143u,272.081n,14.251u,265.779n,234.351u,194.491n,80.372u,340.015n,21.280u,0.524p,8.4969403833e-11,40610687.0229,0.000384039442028
12.074u,232.757n,24.411u,317.012n,3.786u,415.113n,84.634u,283.862n,105.047u,368.542n,22.621u,2.136p,7.485911375e-11,10590355.8052,0.000182891232532
8.827u,220.010n,26.874u,206.333n,19.467u,452.528n,153.720u,222.581n,99.929u,513.141n,25.916u,1.368p,1.01789202197e-10,18944444.4444,0.000249974260913
21.004u,323.080n,17.749u,379.991n,16.797u,314.555n,218.995u,383.849n,63.847u,256.945n,15.239u,0.527p,None,None,None
18.270u,298.312n,22.764u,247.237n,16.725u,413.833n,192.517u,328.232n,18.858u,488.749n,21.035u,1.408p,9.0406688819e-11,14939630.6818,0.000140485686073
