W1,L1,W3,L3,W5,L5,W6,L6,W7,L7,IB,CC,Gain,Gain_Phase,UGBW,PM_db,PM_PH
16.104u,352.295n,18.930u,187.153n,17.793u,208.824n,62.784u,257.507n,143.962u,404.029n,16.796u,1.169p,81.2525340131,96.9159935607,116187.893923,38.7551836332,0.0
17.836u,400.167n,19.356u,365.170n,14.664u,393.713n,219.334u,203.530n,14.279u,372.222n,18.621u,0.942p,67.0945922615,91.8367065198,22646.713367,39.0523383996,0.0
6.369u,228.236n,16.987u,290.500n,20.086u,512.121n,308.204u,200.738n,137.441u,495.181n,22.642u,2.210p,74.316377714,90.5606924692,51985.585215,39.039566601,0.0
14.502u,460.147n,20.400u,194.920n,6.506u,186.525n,69.183u,261.415n,119.229u,253.501n,14.198u,0.753p,76.8889611698,115.954524601,77719.352735,38.9592435643,0.0
7.153u,260.007n,10.058u,304.949n,19.990u,329.225n,316.483u,200.802n,123.995u,312.287n,27.326u,1.820p,70.0142791604,91.7281644445,31690.4722276,39.0656071987,0.0
20.011u,220.806n,5.310u,247.985n,8.455u,313.149n,94.775u,438.648n,14.191u,468.141n,20.363u,1.229p,75.3916500919,91.307871425,58800.2688569,38.8422955826,0.0
18.782u,199.608n,15.969u,311.037n,2.882u,245.031n,113.186u,471.076n,25.670u,302.570n,14.181u,1.516p,85.3212331587,92.1341933719,183573.408067,38.4388039364,0.0
5.057u,210.677n,23.604u,374.753n,7.028u,227.067n,226.587u,482.516n,74.356u,272.582n,12.463u,1.418p,79.2594799467,91.5501346522,91822.5050468,38.8974324612,0.0
19.165u,415.254n,10.393u,321.849n,23.905u,303.191n,58.520u,298.027n,50.104u,427.712n,10.002u,1.146p,77.6193077063,91.1388673578,75688.2690021,38.5081376663,0.0
13.856u,486.387n,11.862u,362.156n,23.090u,356.843n,64.732u,410.853n,15.465u,479.374n,16.688u,1.219p,68.9168599117,92.7785876012,27934.9497117,38.867999426,0.0
14.206u,353.216n,12.637u,216.474n,23.807u,401.677n,179.639u,409.967n,41.554u,495.189n,18.011u,1.888p,72.5996089164,94.7069106399,42790.068782,38.9349059769,0.0
15.929u,325.675n,23.739u,196.907n,19.822u,304.311n,113.918u,246.485n,18.457u,405.058n,12.357u,1.975p,71.0573591605,97.8678431243,36039.2029191,38.8751401668,0.0
20.856u,204.334n,5.412u,244.377n,7.133u,401.708n,357.286u,193.642n,88.758u,470.517n,22.060u,1.530p,75.6238792306,91.0287277359,60434.5066068,39.0564762106,0.0
15.040u,294.669n,21.813u,381.457n,16.981u,506.823n,170.137u,354.587n,17.840u,305.192n,17.576u,2.420p,72.3445540568,94.1249696801,41522.5524461,38.9502229815,0.0
5.694u,466.280n,9.870u,180.577n,8.331u,481.248n,169.050u,307.251n,60.654u,193.825n,27.195u,1.196p,79.8178256574,91.6815170003,97958.9306085,38.9934880737,0.0
15.219u,355.455n,27.747u,226.076n,21.390u,236.525n,96.626u,183.121n,60.346u,206.741n,16.535u,1.151p,86.6460504652,94.3189435506,214447.826274,38.4938416781,0.0
17.533u,285.286n,13.404u,245.085n,5.665u,247.134n,339.110u,250.984n,125.628u,441.006n,15.949u,1.284p,90.5038332747,90.0490324896,334511.057519,38.7297252398,0.0
18.100u,229.548n,15.143u,272.081n,14.251u,265.779n,234.351u,194.491n,80.372u,340.015n,21.280u,0.524p,86.9142676716,120.057099094,255838.848204,38.808020908,0.0
12.074u,232.757n,24.411u,317.012n,3.786u,415.113n,84.634u,283.862n,105.047u,368.542n,22.621u,2.136p,73.4897610113,95.9493087334,47519.0161762,39.0323960016,0.0
8.827u,220.010n,26.874u,206.333n,19.467u,452.528n,153.720u,222.581n,99.929u,513.141n,25.916u,1.368p,87.2946141771,93.1506407739,231362.173533,38.6643141077,0.0
21.004u,323.080n,17.749u,379.991n,16.797u,314.555n,218.995u,383.849n,63.847u,256.945n,15.239u,0.527p,92.7735876201,91.6901295734,428177.353585,37.99999783,0.0
18.270u,298.312n,22.764u,247.237n,16.725u,413.833n,192.517u,328.232n,18.858u,488.749n,21.035u,1.408p,75.4479715879,91.0868319808,59200.8578906,38.9048719463,0.0
9.003u,366.434n,15.713u,320.895n,18.005u,451.021n,301.296u,205.263n,33.327u,471.203n,29.581u,2.677p,58.8241200591,91.9398223775,8739.44062914,39.0764964689,0.0
7.634u,206.559n,22.908u,216.538n,5.548u,439.105n,353.858u,224.994n,44.649u,387.794n,28.167u,2.593p,83.914739919,90.319206973,156918.687222,38.946805973,0.0
3.202u,466.736n,27.018u,280.969n,10.741u,425.853n,316.917u,302.564n,71.698u,517.897n,27.734u,0.966p,85.8868487485,90.0587085248,196745.908063,38.8150404242,0.0
7.485u,424.551n,20.842u,484.665n,18.803u,211.005n,288.498u,480.920n,123.992u,260.522n,20.290u,1.221p,81.1055243286,93.4068413932,113703.761872,38.8627525829,0.0
18.405u,447.806n,7.774u,497.436n,7.375u,444.300n,72.166u,228.578n,80.921u,277.885n,24.578u,2.575p,79.6732784233,90.3199221382,96304.7858718,38.9757505507,0.0
7.240u,411.826n,26.637u,227.189n,23.099u,268.561n,189.033u,416.380n,139.804u,205.988n,15.650u,2.198p,70.6711652344,90.5703228436,34167.5983921,39.0302889921,0.0
14.323u,259.627n,9.721u,184.011n,21.429u,340.429n,206.262u,300.675n,146.947u,317.965n,24.508u,2.408p,84.4863675987,90.1733138754,167513.071672,38.8606375348,0.0
2.362u,241.389n,25.375u,431.092n,11.953u,201.520n,146.584u,257.868n,77.552u,229.785n,28.350u,2.206p,78.1790584459,90.2029319512,81072.9357574,38.9600080733,0.0
6.578u,456.074n,17.783u,358.992n,21.782u,323.994n,35.244u,480.010n,90.671u,397.762n,18.380u,2.677p,66.0113624833,91.7625217831,19986.8546423,38.995036011,0.0
7.107u,282.877n,15.414u,404.933n,5.844u,348.879n,319.901u,283.064n,108.127u,256.152n,19.258u,1.614p,82.1738925074,90.4071632977,128435.239864,39.0002703649,0.0
18.782u,349.223n,27.800u,326.965n,9.916u,288.782n,226.179u,267.100n,95.860u,355.717n,26.998u,1.066p,91.0278873632,92.5347763131,355362.550385,38.6642855895,0.0
6.476u,490.367n,19.697u,494.717n,23.715u,479.599n,112.326u,185.100n,120.397u,208.184n,21.385u,2.365p,75.4197394382,90.6024961939,59020.9204465,39.0220433061,0.0
7.691u,181.233n,26.155u,189.776n,5.206u,253.580n,247.846u,229.159n,100.282u,267.494n,10.579u,2.859p,73.9059848515,92.7977647334,49641.7788311,39.020442867,0.0
11.085u,466.297n,18.696u,286.049n,18.266u,361.207n,118.642u,426.942n,125.003u,475.779n,17.439u,2.338p,75.1411788034,91.3808126776,57159.5416819,38.93371542,0.0
16.328u,473.473n,25.415u,282.429n,20.014u,454.763n,202.227u,276.971n,95.210u,231.913n,14.020u,0.862p,85.8053150345,94.7777380163,195537.244003,38.7915129943,0.0
15.686u,456.190n,17.503u,488.337n,12.013u,512.380n,206.984u,399.258n,147.016u,302.718n,29.763u,1.650p,81.5011373326,91.0672226921,118888.395254,38.9969904892,0.0
13.010u,409.710n,3.781u,236.999n,11.859u,403.722n,285.672u,376.730n,144.106u,214.128n,10.019u,1.811p,81.1018273135,90.1915251153,113500.708927,38.9335781086,0.0
